timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw
1664086988.3372076,0.17332919351082823,0.84,88,0.16378172785841805,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1461759,['192.168.22.212'],628,1392887,600,5.104301516215006
1664087048.472887,0.1681656070708637,1.28,88,0.18429213831601798,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1462383,['192.168.22.212'],618,1393484,592,5.097348658243815
1664087108.5933878,0.17078460227712802,0.95,88,0.15970877546278367,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1462992,['192.168.22.212'],611,1394064,580,5.015412584940592
1664087168.8024547,0.17109212652966982,1.24,88,0.16293388747787269,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1463622,['192.168.22.212'],629,1394666,600,5.099812126159668
1664087228.935467,0.17388965729214692,0.88,88,0.1640540955893653,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1464218,['192.168.22.212'],592,1395232,564,4.84230359395345
1664087289.0867095,0.17223158217184867,0.75,88,0.18854342165722163,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1464841,['192.168.22.212'],622,1395826,594,5.097373072306315
1664087349.2397273,0.16492337630746776,0.99,88,0.19184302278439958,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1465443,['192.168.22.212'],602,1396402,574,4.893212191263834
1664087409.4004521,0.17146118721461187,0.91,88,0.16270928462709283,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1466050,['192.168.22.212'],602,1396980,574,4.918891843159994
1664087469.5400658,0.1715370018975332,0.84,88,0.16333965844402276,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1466655,['192.168.22.212'],608,1397558,578,4.923542149861654
1664087529.6670053,0.17342359473644176,0.89,88,0.19076595421008594,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1467278,['192.168.22.212'],617,1398152,590,5.044589932759603
1664087589.862292,0.16289424860853433,0.95,88,0.3131725417439703,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1467896,['192.168.22.212'],619,1398742,590,5.016860135396322
1664087650.0117831,0.16716867469879518,0.75,88,0.15985242075144945,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1468516,['192.168.22.212'],620,1399334,592,5.022617530822754
1664087710.1654522,0.15366164455438122,0.94,88,0.14736526497264074,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1469088,['192.168.22.212'],571,1399878,544,4.613483492533366
1664087770.346516,0.1707573369361255,0.59,88,0.1606995421451625,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1469697,['192.168.22.212'],601,1400458,572,4.925265630086263
1664087830.43661,0.17535829519021534,0.75,88,0.17055601410670068,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1470314,['192.168.22.212'],620,1401046,588,5.078598340352376
1664087890.585928,0.17495313085864267,0.94,88,0.1628796400449944,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1470941,['192.168.22.212'],623,1401644,596,5.064441108703614
1664087950.705495,0.1654885654885655,1.09,88,0.3600831600831601,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1471567,['192.168.22.212'],625,1402242,598,5.1230469385782875
1664088010.9081764,0.16972989061686136,1,88,0.16035419302031403,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1472179,['192.168.22.212'],612,1402826,582,5.010474459330241
1664088071.0750701,0.16757037807323777,0.89,88,0.18278371954842543,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1472795,['192.168.22.212'],612,1403410,582,5.011233266194662
1664088131.2391827,0.1745819397993311,0.84,88,0.15964325529542922,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1473419,['192.168.22.212'],622,1404008,598,5.081693522135416
1664088191.424864,0.1712768311573357,0.63,88,0.16050748690713285,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1474039,['192.168.22.212'],620,1404600,592,5.039150301615397
1664088251.5745416,0.16954762780433985,0.81,88,0.1579992644354542,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1474649,['192.168.22.212'],608,1405180,578,4.95772450764974
1664088311.7804682,0.17032016152293047,1.16,88,0.22238246322468994,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1475263,['192.168.22.212'],611,1405764,582,4.972424634297689
1664088371.9433308,0.16990504017531047,1.01,88,0.15922869038054197,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1475881,['192.168.22.212'],617,1406354,588,5.049729029337565
1664088432.0632546,0.17525545835477468,0.76,88,0.15562743512460486,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1476488,['192.168.22.212'],611,1406934,581,4.999426396687825
1664088492.177896,0.17076023391812864,0.8,88,0.2358918128654971,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1477115,['192.168.22.212'],619,1407532,591,5.0653536478678385
1664088552.3371806,0.17103258108990638,0.58,88,0.1602815266289363,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1477728,['192.168.22.212'],615,1408116,588,4.971439107259115
1664088612.4907298,0.17461354234704984,0.76,88,0.1613324624428478,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1478348,['192.168.22.212'],616,1408708,588,5.058787854512532
1664088672.654874,0.16676885346413242,1.13,88,0.27275513331290224,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1478972,['192.168.22.212'],622,1409304,594,5.109452629089356
1664088732.8647933,0.16937053861129137,0.93,88,0.18351600807614651,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1479599,['192.168.22.212'],626,1409902,596,5.110582669576009
1664088793.0047603,0.1645170535970192,0.79,88,0.15548867870449984,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1480201,['192.168.22.212'],601,1410476,574,4.868126996358236
